System	nDCG'	mAP'	p@10
svd_200	0.09832179487179489	0.02117820512820512	0.07792179487179486
lda_200	0.08416282051282052	0.023414102564102566	0.08832692307692307
lda_50	0.06557564102564105	0.015153846153846148	0.08709102564102565
pyterrier-bm25	0.0030743589743589743	0.00046153846153846153	0.005262820512820513
pyterrier-tf-idf	0.0555448717948718	0.011562820512820511	0.06492435897435897
SBert-Cross-Encoder-Without-Tags	0.1808820512820512	0.04188846153846154	0.12854999999999997
SBert-Cross-Encoder	0.1286935897435897	0.03255256410256409	0.14023717948717948
SBert	0.16572820512820513	0.03629358974358973	0.11426666666666661
SBertWithoutTags	0.2004589743589744	0.04478461538461541	0.11037179487179485
baseline_task1_tf_idf_pyterrier	0.19193717948717953	0.035951282051282056	0.06622307692307693
svd	0.09832179487179489	0.02117820512820512	0.07792179487179486
